epoch,lossG,lossD,FID,IS_mean,IS_std
1,4.4724,0.2052,304.917,1.805,1.524
2,2.7528,0.2438,203.423,2.136,1.679
3,3.3656,0.1799,81.562,2.295,1.689
4,3.5854,0.1666,55.096,2.204,1.683
5,3.8613,0.1576,51.759,2.21,1.659
6,3.7837,0.1522,53.427,2.201,1.666
7,3.7731,0.1791,53.059,2.171,1.632
8,4.1819,0.1304,49.996,2.193,1.656
9,4.0395,0.1339,49.303,2.175,1.62
10,5.5131,0.0319,47.066,2.193,1.632
11,3.9789,0.1661,47.008,2.185,1.617
12,5.1216,0.074,49.305,2.19,1.641
13,4.2116,0.1418,47.761,2.246,1.699
14,4.7947,0.1033,46.278,2.196,1.628
15,4.4115,0.1651,46.025,2.193,1.662
16,4.8451,0.089,45.801,2.214,1.658
17,4.1061,0.1572,44.405,2.221,1.659
18,5.4619,0.0512,42.409,2.252,1.671
19,7.0092,0.0354,43.889,2.16,1.635
20,4.1652,0.1337,41.076,2.184,1.662
21,4.9735,0.1295,44.09,2.201,1.652
22,4.7424,0.1128,42.681,2.226,1.658
23,6.6578,0.0041,43.918,2.241,1.659
24,4.5324,0.1505,40.079,2.279,1.696
25,5.2127,0.0705,40.214,2.276,1.688
26,5.1189,0.1147,39.921,2.237,1.658
27,5.7642,0.0477,41.95,2.258,1.665
28,7.8557,0.0015,351.905,1.443,1.357
29,9.3267,0.0003,391.439,1.196,1.181
30,11.6797,0.0187,283.398,1.085,1.089
31,7.5396,0.014,389.198,1.223,1.158
32,9.0317,0.0001,470.691,1.035,1.027
33,8.6198,0.0169,391.962,1.063,1.058
34,7.7155,0.0025,351.997,1.122,1.122
35,7.2505,0.0411,315.54,1.245,1.277
36,8.3814,0.0113,328.746,1.081,1.159
